profession,score
Hairdresser,2
Hairstylist,2
Hand Presser,1
Handicraft Knitter,1
Harvesting Machine Driver,1
Head Chef,2
Head Waiter,1
Health Affairs Director,3
Health and Safety Engineer,2
Health Care Assistant,1
Health Services Manager,1
Heavy Transportation Worker,2
Heavy Truck Driver,1
Henna Applicator,3
Holly Quran Reader,3
Horse Trainer,1
Horticulturist,1
Hospital Admissions Clerk,1
Hospital Director,3
Hospital Porter,1
Hotel Concierge,1
Hotel Manager,1
Hotel Receptionist,1
House Builder,1
Housekeeping Supervisor,1
Housewife,1
HR Director,2
Hunter,1
Hunting Dogs Trainer,1
Hunting Eagles Trainer,1
ICT Operations Technician,1
ICT Sales Representative,1
ICT Security Specialist,1
ICT Service Manager,1
ICT Trainer,1
ICT User Support Technician,1
Industrial Electrician,1
Industrial Engineer,2
Industrial Maintenance Mechanic,1
Industrial Maintenance Supervisor,1
Industrial Relations Manager,2
Information Clerk,1
Instrumentalist,2
Insulation Worker,1
Insurance Agent,3
Insurance Manager,1
Interior Designer,2
Internal Auditing Manager,1
Interpreter,1
Investment Manager,1
Iron Smiths,1
IT Manager,1
Jeweller,3
Jockey,3
Joiner,1
Journalist,1
Judge,3
Kindergarten Director,1
Kitchen Helper,1
Knitting Machine Operator,1
Laborer,1
Land Surveyor,1
Launderer,1
Laundry Machine Operator,1
Lawyer / Advocate,3
Leather Preparing Machine,1
Lecturer,1
Legal Advisor,3
Legal Assistant,3
Legal Consultants /Advisors,3
Legal Director,3
Legal Secretary,3
Lens Maker,1
Librarian,1
Library Clerk,1
Library Director,1
Life Guard,1
Life Science Technician,1
Light Vehicle Driver,1
Linguist,1
Literary Writer,1
Livestock Farm Labourer,1
Livestock Farm Manager,1
Locksmith,1
Loom Machine Operator,1
Luggage Machine Operator,1
Machine Assembler,1
Machine Tool Operator,1
Mailing Clerk,1
Make Up Artist,2
Manager,1
Managing Director,3
Manicurist,2
Manufacturing Manager,1
Manufacturing Supervisor,1
Marina Attendant,1
Marine Engineer,2
Marine Traffic Controller,2
Marketing Manager,1
Marketing Specialist,1
Masons,1
Masseur,1
Material Engineer,2
Mathematician,1
Mechanic,1
Mechanic Assistant,1
Mechanical Draftsperson,1
Mechanical Engineer,2
Mechanical Engineering Technician,1
Media Presenter,1
Medical Assistant,1
Medical Imaging Technician,1
Medical Laboratory Assistant,1
Medical Laboratory Technician,1
Medical Records Clerk,1
Medical Sales Representative,1
Medical Secretary,2
Merchants,3
Messenger,3
Metal Furnace Operator,1
Metal Machine Processing Operator,1
Metal Plating Operator,1
Meter Reader,1
Midwife,1
Miner,1
Mining Engineer,2
Mining Labourer,1
Mining Technician,1
Mixed Crop Grower,1
Model Maker,2
Money Changers,3
Mosque Imam,1
Motorcyclist,3
Moulder and Coremaker,1
Movie Producer,3
Multimedia Developer,1
Museum Curator,1
Museum Director,3
Music Instructor,2
Musical Instrument Maker,1
Musician,2
Neurologist,1
Notary,3
Nuclear Physicist,1
Nuclear Power Engineer,2
Nuclear Reactor Operator,1
Nuclear Technician,1
Nurse,1
Nurse Assistant,1
Nursemaid,1
Nursery Supervisor,1
Occupational Health and Safety Inspector,1
Occupational Health and Safety Advisor,1
Office Clerk,1
Office Manager,1
Oil and Gas Production Manager,1
Operating Theatre Technician,1
Operations Manager,1
Optician,1
Optometrist,1
Others,3
Packaging Machine Operator,1
Packer,1
Painter,3
Painter Assistant,3
Paper Products Machine Operator,1
Paper Pulp Machine Operator,1
Paramedical Practitioner,1
Partner,3
Pastry Maker,1
Pathologist,1
Personal Companion,1
Personnel Manager,1
Personnel Officer,1
Pesticides Controller,1
Petroleum and Natural Gas Refining Plant Operator,1
Petroleum Engineer,2
Pharmacist /Chemist,1
Pharmacist Assistant,1
Pharmacist Technician,1
Pharmacologist,1
Photographer,1
Photographic Product Machine Operator,1
Physicist,1
Physics Technician,1
Physiotherapist,1
Pilots,1
Pipe Fitter,1
Pisciculture Specialist,1
Plant Manager,1
Plasterer,1
Plastic Products Machine Operator,1
Plastic Surgeon,1
Plate Printing Maker,1
Plumber,1
Plumber Assistant,1
Police Detective,2
Police Officer,2
Policy and Planning Manager,1
Political Advisor,3
Political Scientist,3
Porter,1
Postal Clek,1
Postman,1
Potter,1
Poultry Farm Manager,1
Poultry Producer,1
Power Production Plant Operator,1
Precision Instrument Maker,1
President,3
Priest,3
Printer,1
Printing Press Machine Operator,1
Prison Guard,2
Private Car Driver,1
Private Coach,3
Private Nurse,1
Private Representative,1
Private Tutor,1
Procurement Specialist,1
Product Quality Controller,1
Production Clerk,1
Production Engineer,2
Production Manager,1
Programmer,1
Project Engineer,2
Project Manager,1
Projectionist,1
Promoter,3
Promotion Manager,1
Property Appraiser,2
Prosthesis Technician,1
Psychoanalyst,1
Psychologist,1
Public Relations Worker,2
Publication Designer,2
Puppet Artist,3
Purchasing Manager,1
Purchasing Representative,1
Purchasing Supervisor,1
Quality Engineer,2
Quality Service Manager,1
Quantity Surveyor,1
Quarry Supervisor,1
Radiation Protection Technician,1
Radiologist,1
Railway Station Manager,1
Real Estate Agent,3
Real Estate Property Manager,3
Refrigeration Mechanic,1
Refuse Collector,1
Research and Development Manager,1
Research Studies Manager,1
Restaurant Assistant,1
Restaurant Manager,1
Retail Category Manager,1
Retail Operations Manager,1
Retail Sales Assistant,1
Retail Store Manager,1
Rigger,1
Road Maintenance Labourer,1
Rubber Machine Operator,1
Saddler,1
Sailor,1
Sales Demonstrator,1
Sales Manager,1
Salesman,1
Scaffolder,1
Scaffolder Supervisor,1
Scholars,1
School Attendance Clerk,1
School Department Head,1
School Deputy Principal,1
School Health Nurse,1
School Principal,1
Scrap Merchant,3
Sculptor,1
Seamstress,1
Secretary,2
Security Guard,1
Senior Government Official,2
Service Station Cashier,3
Service Station Manager,1
Servicemen,1
Sewing Machine Operator,1
Sheet Metal Worker,1
Ship Captain,2
Ship Electrician,1
Ship Engineer,2
Shipping Agent,3
Shipping Services Clerk,1
Shoe Polisher,1
Shoemaker,1
Shop Supervisor,1
Shovel Operation Driver,1
Signal Operator,1
Skilled Forester,1
Slaughterer,1
Social Services Specialist,1
Social Welfare Manager,1
Social Worker,1
Sociologist,1
Software Developer,1
Soldiers,3
Sound Technician,1
Sous Chef,2
Specialist Physician,1
Speech Therapist,1
Sports Coach,1
Sports Referee,3
Sports Trainer,3
Sportsman,3
Spray Painter,3
Stable Groom,1
Staff Clerk,1
Stall and Market Assistant,1
Stall and Market Salesperson,1
Statistical Assistant,1
Statistician,1
Steam Roller Driver,1
Steel Fixer,1
